emoji,hexcode,cleaned_description,cleaned_llm_description,openmoji_tags
🆗,1f197,letter ok shown enclosed square meaning okay denoting approval opposite squared ng emoji,emoji represents ok button often used digital interface indicate approval agreement acceptance given action information,"ok, ok button"
🆘,1f198,so description distress signal morse code emoji mean so emergency,emoji represents so button often used signal help emergency assistance typically distress situation,"help, sos, sos button"
🆙,1f199,word exclamation point shown enclosed square originally intended denote leveling game,emoji represents button often used indicate increase improvement progress associated lifting elevation moving upward,"mark, up, up!, up! button"
🆚,1f19a,square icon rounded side containing letter v generally depicted orange color,emoji represents aversus button symbol often used sport gaming competition context indicate comparison headtohead matchup,"versus, vs, vs button"
🇦,1f1e6,,,
🇦🇨,1f1e6-1f1e8,flag ascension island may show letter ac platform apple device show st,emoji represents ascension island british overseas territory known unique wildlife strategic location south atlantic ocean stopover traveler africa south america,"AC, flag, flag: ascension island"
🇦🇩,1f1e6-1f1e9,flag andorra may show letter ad platform,emoji represents andorra small european country known stunning mountain landscape rich cultural heritage popular ski resort,"AD, flag, flag: andorra"
🇦🇪,1f1e6-1f1ea,flag united arab emirate may show letter ae platform,emoji represents united arab emirate country known modern architecture rich cultural heritage thriving tourism industry,"AE, flag, flag: united arab emirates"
🇦🇫,1f1e6-1f1eb,flag afghanistan may show letter af platform august display black red green flag islamic republic afghanistan,emoji represents afghanistan country south asia known rich history diverse culture stunning landscape including hindu kush mountain,"AF, flag, flag: afghanistan"
🇦🇬,1f1e6-1f1ec,flag antigua barbuda may show letter g platform,emoji represents antigua barbuda twinisland country west indie known beautiful beach vibrant culture rich history,"AG, flag, flag: antigua & barbuda"
🇦🇮,1f1e6-1f1ee,flag anguilla may show letter ai platform,emoji represents anguilla british overseas territory known stunning beach vibrant marine life rich cultural heritage,"AI, flag, flag: anguilla"
🇦🇱,1f1e6-1f1f1,flag albania may show letter al platform,emoji represents albania southeastern european country known rich history stunning landscape unique cultural heritage,"AL, flag, flag: albania"
🇦🇲,1f1e6-1f1f2,flag armenia may show letter platform,emoji represents armenia country south caucasus known rich history ancient architecture cultural heritage including armenian genocide armenian apostolic church,"AM, flag, flag: armenia"
🇦🇴,1f1e6-1f1f4,flag angola may show letter platform,emoji represents angola west african country known rich culture diverse landscape tumultuous history marked colonialism civil war,"AO, flag, flag: angola"
🇦🇶,1f1e6-1f1f6,flag antarctica may show letter aq platform,emoji represents antarctica earth southernmost continent known extreme cold ice unique wildlife penguin seal,"AQ, flag, flag: antarctica"
🇦🇶💎,1f1e6-1f1f6-1f48e,,,
🇦🇷,1f1e6-1f1f7,flag argentina may show letter ar platform,emoji represents argentina south american country known vibrant culture beautiful landscape passionate football fan,"AR, flag, flag: argentina"
🇦🇸,1f1e6-1f1f8,flag american samoa may show letter platform,emoji represents american samoa territory united state located south pacific known unique blend polynesian culture american influence,"AS, flag, flag: american samoa"
🇦🇹,1f1e6-1f1f9,flag austria may show letter platform,emoji represents austria central european country known rich history beautiful landscape contribution music art including famous composer wolfgang amadeus mozart,"AT, flag, flag: austria"
🇦🇺,1f1e6-1f1fa,flag australia may show letter au platform,emoji represents australia country known unique wildlife beautiful landscape diverse culture including indigenous australian heritage australian way life,"AU, flag, flag: australia"
🇦🇼,1f1e6-1f1fc,flag aruba may show letter aw platform,emoji represents aruba caribbean island known beautiful beach vibrant culture rich history,"AW, flag, flag: aruba"
🇦🇽,1f1e6-1f1fd,flag land island may show letter ax platform,emoji represents land island region finland known unique swedishspeaking culture beautiful archipelago autonomous status within finnish republic,"AX, flag, flag: åland islands"
🇦🇿,1f1e6-1f1ff,flag azerbaijan may show letter az platform,emoji represents azerbaijan country south caucasus region known rich history diverse culture beautiful landscape including caspian sea greater caucasus mountain,"AZ, flag, flag: azerbaijan"
🇧,1f1e7,,,
🇧🇦,1f1e7-1f1e6,flag bosnia herzegovina may show letter b platform,emoji represents bosnia herzegovina country southeast europe known rich history diverse culture beautiful landscape,"BA, flag, flag: bosnia & herzegovina"
🇧🇧,1f1e7-1f1e7,flag barbados may show letter bb platform,emoji represents barbados caribbean island country known beautiful beach vibrant culture rich history including role former british colony,"BB, flag, flag: barbados"
🇧🇩,1f1e7-1f1e9,flag bangladesh may show letter bd platform,emoji represents bangladesh country south asia known rich cultural heritage diverse landscape significant role global textile industry,"BD, flag, flag: bangladesh"
🇧🇪,1f1e7-1f1ea,flag belgium may show letter platform,emoji represents belgium western european country known rich history diverse culture famous landmark like atomium manneken pi,"BE, flag, flag: belgium"
🇧🇫,1f1e7-1f1eb,flag burkina faso may show letter bf platform,emoji represents burkina faso landlocked country west africa known rich cultural heritage diverse landscape vibrant art scene,"BF, flag, flag: burkina faso"
🇧🇬,1f1e7-1f1ec,flag bulgaria may show letter bg platform,emoji represents bulgaria southeastern european country known rich history diverse landscape cultural heritage including traditional music dance,"BG, flag, flag: bulgaria"
🇧🇭,1f1e7-1f1ed,flag bahrain may show letter bh platform,emoji represents bahrain small island country persian gulf known rich history vibrant culture modern development tourism finance,"BH, flag, flag: bahrain"
🇧🇮,1f1e7-1f1ee,flag burundi may show letter bi platform,emoji represents burundi african country known rich culture beautiful landscape history marked political instability,"BI, flag, flag: burundi"
🇧🇯,1f1e7-1f1ef,flag benin may show letter bj platform,emoji represents benin west african country known rich cultural heritage including royal palace abomey fascinating art somba people,"BJ, flag, flag: benin"
🇧🇱,1f1e7-1f1f1,flag st barthlemy may show letter b l platform,emoji represents st barthlemy french overseas collectivity located caribbean known beautiful beach lush landscape rich cultural heritage,"BL, flag, flag: st. barthélemy"
🇧🇲,1f1e7-1f1f2,flag bermuda may show letter bm platform,emoji represents bermuda british island territory known pink sand beach crystalclear water rich maritime history including famous bermuda triangle,"BM, flag, flag: bermuda"
🇧🇳,1f1e7-1f1f3,flag brunei darussalam may show letter bn platform,emoji represents brunei small southeast asian nation known ancient temple lush rainforest strong economy driven oil natural gas,"BN, flag, flag: brunei"
🇧🇴,1f1e7-1f1f4,flag bolivia may show letter bo platform,emoji represents bolivia landlocked country south america known diverse landscape rich cultural heritage vibrant festival,"BO, flag, flag: bolivia"
🇧🇶,1f1e7-1f1f6,caribbean netherlands group island caribbean sea design emoji shown flag bonaire platform,emoji represents caribbean netherlands region consisting three island caribbean sea part kingdom netherlands,"BQ, flag, flag: caribbean netherlands"
🇧🇷,1f1e7-1f1f7,flag brazil may show letter br platform,emoji represents brazil south american country known diverse culture vibrant city stunning natural landscape including amazon rainforest,"BR, flag, flag: brazil"
🇧🇸,1f1e7-1f1f8,flag bahamas may show letter b platform,emoji represents bahamas caribbean country known beautiful beach crystalclear water vibrant marine life,"BS, flag, flag: bahamas"
🇧🇹,1f1e7-1f1f9,flag bhutan may show letter bt platform,emoji represents bhutan small landlocked country eastern himalaya known stunning landscape rich culture concept gross national happiness measure progress,"BT, flag, flag: bhutan"
🇧🇻,1f1e7-1f1fb,flag bouvet island may show letter bv platform flag norway,emoji represents bouvet island uninhabited subantarctic island located south atlantic ocean known remote challenging location making one world inaccessible territory,"BV, flag, flag: bouvet island"
🇧🇼,1f1e7-1f1fc,flag botswana may show letter bw platform,emoji represents botswana landlocked country southern africa known diverse wildlife rich cultural heritage progressive policy promoting democracy human right,"BW, flag, flag: botswana"
🇧🇾,1f1e7-1f1fe,flag belarus may show letter platform,emoji represents belarus landlocked eastern european country known rich history diverse landscape mix sovietera architecture modern development,"BY, flag, flag: belarus"
🇧🇿,1f1e7-1f1ff,flag belize may show letter bz platform,emoji represents belize central american country known beautiful natural landscape diverse ecosystem rich cultural heritage,"BZ, flag, flag: belize"
🇨,1f1e8,,,
🇨🇦,1f1e8-1f1e6,flag canada may show letter ca platform,emoji represents canada north american country known diverse landscape multicultural population strong cultural political value,"CA, flag, flag: canada"
🇨🇨,1f1e8-1f1e8,flag coco keeling island may show letter cc platform,emoji represents coco keeling island small island group located indian ocean known pristine beach diverse wildlife unique cultural heritage,"CC, flag, flag: cocos (keeling) islands"
🇨🇩,1f1e8-1f1e9,flag democratic republic congo drc may show letter c platform,emoji represents democratic republic congo central african nation known rich cultural heritage diverse wildlife complex history,"CD, flag, flag: congo - kinshasa"
🇨🇫,1f1e8-1f1eb,flag central african republic may show letter cf platform,emoji represents central african republic landlocked country heart africa known diverse culture natural resource effort towards peace stability,"CF, flag, flag: central african republic"
🇨🇬,1f1e8-1f1ec,flag republic congo may show letter c g platform,emoji represents flag congobrazzaville central african country known rich cultural heritage diverse wildlife natural resource,"CG, flag, flag: congo - brazzaville"
🇨🇭,1f1e8-1f1ed,flag switzerland may show letter ch platform flag red white cross center,emoji represents switzerland country known picturesque landscape rich cultural heritage neutrality international affair,"CH, flag, flag: switzerland"
🇨🇮,1f1e8-1f1ee,flag cte divoire may show letter c platform occasionally mistaken flag ireland especially surrounding st,emoji represents cte divoire also known ivory coast west african country known diverse culture lush rainforest significant role cocoa industry,"CI, flag, flag: côte d’ivoire"
🇨🇰,1f1e8-1f1f0,flag cook island may show letter ck platform,emoji represents cook island group island south pacific known beautiful beach rich polynesian culture unique wildlife,"CK, flag, flag: cook islands"
🇨🇱,1f1e8-1f1f1,flag chile may show letter cl platform occasionally confused flag texas emoji broad crossplatform emoji support,emoji represents chile south american country known diverse landscape including atacama desert andes mountain easter island statue well rich cultural heritage vibrant art scene,"CL, flag, flag: chile"
🇨🇲,1f1e8-1f1f2,flag cameroon may show letter cm platform,emoji represents cameroon central african country known diverse culture lush landscape rich wildlife including famous mountain gorilla rainforest,"CM, flag, flag: cameroon"
🇨🇳,1f1e8-1f1f3,flag china may show letter cn platform,emoji represents china country rich history diverse culture significant impact global affair known ancient civilization landmark like great wall contribution technology cuisine,"CN, flag, flag: china"
🇨🇴,1f1e8-1f1f4,flag colombia may show letter co platform,emoji represents colombia country south america known diverse landscape rich culture vibrant city like bogot medelln,"CO, flag, flag: colombia"
🇨🇵,1f1e8-1f1f5,flag clipperton island may show letter cp platform us flag france,emoji represents clipperton island small uninhabited french territory located pacific ocean known unique history geographical feature,"CP, flag, flag: clipperton island"
🇨🇷,1f1e8-1f1f7,flag costa rica may show letter cr platform,emoji represents costa rica central american country known lush rainforest diverse wildlife ecotourism destination,"CR, flag, flag: costa rica"
🇨🇺,1f1e8-1f1fa,flag cuba may show letter cu platform,emoji represents cuba caribbean island nation known rich history vibrant culture iconic landmark malecn seawall capitolio building,"CU, flag, flag: cuba"
🇨🇻,1f1e8-1f1fb,flag cape verde may show letter cv platform,emoji represents cape verde archipelagic country west africa known beautiful beach vibrant music rich cultural heritage,"CV, flag, flag: cape verde"
🇨🇼,1f1e8-1f1fc,flag curaao may show letter cw platform,emoji represents curaao caribbean island known vibrant culture beautiful beach rich history dutch colony,"CW, flag, flag: curaçao"
🇨🇽,1f1e8-1f1fd,flag christmas island may show letter cx platform,emoji represents christmas island territory australia known unique wildlife beautiful beach annual christmas island red crab migration,"CX, flag, flag: christmas island"
🇨🇾,1f1e8-1f1fe,flag cyprus may show letter cy platform,emoji represents cyprus mediterranean island nation known rich history beautiful beach blend culture including greek turkish influence,"CY, flag, flag: cyprus"
🇨🇿,1f1e8-1f1ff,flag czechia may show letter cz platform also known czech republic,emoji represents czech republic landlocked country central europe known rich history beautiful architecture contribution science culture,"CZ, flag, flag: czechia"
🇩,1f1e9,,,
🇩🇪,1f1e9-1f1ea,flag germany may show letter de platform,emoji represents germany country europe known rich history culture contribution science technology art,"DE, flag, flag: germany"
🇩🇬,1f1e9-1f1ec,flag diego garcia may show letter dg platform flag used british indian ocean territory,emoji represents diego garcia british overseas territory largest island chagos archipelago indian ocean known strategic military importance unique wildlife,"DG, flag, flag: diego garcia"
🇩🇯,1f1e9-1f1ef,flag djibouti may show letter dj platform,emoji represents djibouti small african country known unique landscape including lake assal strategic location horn africa,"DJ, flag, flag: djibouti"
🇩🇰,1f1e9-1f1f0,flag denmark may show letter dk platform,emoji represents denmark scandinavian country known rich history beautiful landscape contribution culture science technology,"DK, flag, flag: denmark"
🇩🇲,1f1e9-1f1f2,flag dominica may show letter dm platform dominican flag emoji,emoji represents dominica caribbean island nation known lush rainforest volcanic feature rich cultural heritage influenced african european indigenous root,"DM, flag, flag: dominica"
🇩🇴,1f1e9-1f1f4,flag dominican republic may show letter platform,emoji represents dominican republic caribbean country known beautiful beach rich history vibrant culture including music sport traditional festival,"DO, flag, flag: dominican republic"
🇩🇿,1f1e9-1f1ff,flag algeria may show letter dz platform,emoji represents algeria north african country known rich history diverse landscape vibrant culture influenced various civilization throughout age,"DZ, flag, flag: algeria"
🇪,1f1ea,,,
🇪🇦,1f1ea-1f1e6,flag ceuta melilla may show letter ea platform us flag spain,emoji represents ceuta melilla two spanish enclave located northern coast morocco known unique cultural blend spanish moroccan influence,"EA, flag, flag: ceuta & melilla"
🇪🇨,1f1ea-1f1e8,flag ecuador may show letter ec platform,emoji represents ecuador country south america known diverse landscape including andes mountain galapagos island amazon rainforest well rich cultural heritage history,"EC, flag, flag: ecuador"
🇪🇪,1f1ea-1f1ea,flag estonia may show letter ee platform,emoji represents estonia northern european country known rich history beautiful landscape thriving startup culture,"EE, flag, flag: estonia"
🇪🇬,1f1ea-1f1ec,flag egypt may show letter eg platform,emoji represents egypt country known ancient civilization rich history iconic landmark pyramid giza sphinx,"EG, flag, flag: egypt"
🇪🇭,1f1ea-1f1ed,flag western sahara may show letter eh platform,emoji represents western sahara disputed territory north africa known vast desert landscape rich cultural heritage,"EH, flag, flag: western sahara"
🇪🇷,1f1ea-1f1f7,flag eritrea may show letter er platform,emoji represents eritrea country horn africa known diverse culture beautiful coastline rich history dating back ancient civilization,"ER, flag, flag: eritrea"
🇪🇸,1f1ea-1f1f8,flag spain may show letter e platform,emoji represents spain country southwestern europe known rich history diverse culture beautiful landscape contribution art literature cuisine,"ES, flag, flag: spain"
🇪🇹,1f1ea-1f1f9,flag ethiopia may show letter et platform,emoji represents ethiopia country horn africa known rich history diverse culture unique landscape including great rift valley ethiopian highland,"ET, flag, flag: ethiopia"
🇪🇺,1f1ea-1f1fa,flag european union may show letter eu platform,emoji represents european union political economic union member state located primarily europe symbolizing unity cooperation shared value among member,"EU, flag, flag: european union"
🇫,1f1eb,,,
🇫🇮,1f1eb-1f1ee,flag finland may show letter fi platform finnish flag emoji,emoji represents finland nordic country known beautiful landscape innovative technology rich cultural heritage including famous finnish sauna unique smi people,"FI, flag, flag: finland"
🇫🇯,1f1eb-1f1ef,flag fiji may show letter fj platform,emoji represents fiji tropical island nation known beautiful beach vibrant coral reef rich cultural heritage,"FJ, flag, flag: fiji"
🇫🇰,1f1eb-1f1f0,flag falkland island malvinas may show letter fk platform,emoji represents falkland island british overseas territory located south atlantic ocean known wildlife including penguin seal strategic importance region,"FK, flag, flag: falkland islands"
🇫🇲,1f1eb-1f1f2,flag micronesia may show letter fm platform,emoji represents micronesia country pacific ocean known diverse island rich culture unique wildlife,"FM, flag, flag: micronesia"
🇫🇴,1f1eb-1f1f4,,emoji represents faroe island selfgoverning archipelago located north atlantic ocean known stunning landscape rich wildlife unique cultural heritage,"FO, flag, flag: faroe islands"
🇫🇷,1f1eb-1f1f7,flag france may show letter fr platform,emoji represents france country known rich history culture landmark like eiffel tower contribution art fashion cuisine,"FR, flag, flag: france"
🇬,1f1ec,,,
🇬🇦,1f1ec-1f1e6,flag gabon may show letter ga platform,emoji represents gabon west central african country known lush rainforest diverse wildlife rich cultural heritage,"GA, flag, flag: gabon"
🇬🇧,1f1ec-1f1e7,flag united kingdom may show letter gb platform england scotland wale also individual emoji flag,emoji represents united kingdom country known rich history culture global influence including capital city london,"GB, flag, flag: united kingdom"
🇬🇩,1f1ec-1f1e9,flag grenada may show letter gd platform,emoji represents grenada caribbean island nation known beautiful beach lush rainforest vibrant culture strong tie african heritage,"GD, flag, flag: grenada"
🇬🇪,1f1ec-1f1ea,flag georgia may show letter ge platform,emoji represents georgia country eastern europe known rich history diverse landscape unique cultural heritage,"GE, flag, flag: georgia"
🇬🇫,1f1ec-1f1eb,flag french guiana may show letter gf platform,emoji represents french guiana region south america rich cultural heritage diverse ecosystem known dense rainforest unique wildlife,"GF, flag, flag: french guiana"
🇬🇬,1f1ec-1f1ec,flag guernsey may show letter gg platform,emoji represents guernsey british crown dependency located english channel known beautiful coastline rich history strong cultural heritage,"GG, flag, flag: guernsey"
🇬🇭,1f1ec-1f1ed,flag ghana may show letter gh platform,emoji represents ghana west african country known rich history diverse culture vibrant music scene including famous highlife genre,"GH, flag, flag: ghana"
🇬🇮,1f1ec-1f1ee,flag gibraltar may show letter gi platform,emoji represents gibraltar british overseas territory located southern tip iberian peninsula known iconic rock gibraltar rich history,"GI, flag, flag: gibraltar"
🇬🇱,1f1ec-1f1f1,flag greenland may show letter gl platform,emoji represents greenland large island country arctic region known stunning landscape rich inuit culture impact climate change,"GL, flag, flag: greenland"
🇬🇲,1f1ec-1f1f2,flag gambia may show letter gm platform,emoji represents gambia small west african country known rich history diverse wildlife vibrant culture,"GM, flag, flag: gambia"
🇬🇳,1f1ec-1f1f3,flag guinea may show letter gn platform,emoji represents guinea west african country known rich cultural heritage diverse landscape historical significance region,"GN, flag, flag: guinea"
🇬🇵,1f1ec-1f1f5,flag guadeloupe may show letter gp platform latest version io o x use local unofficial flag based coat arm guadeloupe capital basseterre used instead flag france official flag guadeloupe,emoji represents guadeloupe french overseas department region caribbean known beautiful beach rich culture vibrant creole cuisine,"GP, flag, flag: guadeloupe"
🇬🇶,1f1ec-1f1f6,flag equatorial guinea may show letter gq platform,emoji represents equatorial guinea west african country known diverse culture lush rainforest significant oil reserve,"GQ, flag, flag: equatorial guinea"
🇬🇷,1f1ec-1f1f7,flag greece may show letter gr platform,emoji represents greece country known rich history ancient civilization iconic landmark parthenon well beautiful island vibrant culture,"GR, flag, flag: greece"
🇬🇸,1f1ec-1f1f8,flag south georgia south sandwich island may show letter g platform,emoji represents south georgia south sandwich island british overseas territory located southern atlantic ocean known unique wildlife historical site,"GS, flag, flag: south georgia & south sandwich islands"
🇬🇹,1f1ec-1f1f9,flag guatemala may show letter gt platform,emoji represents guatemala central american country known rich mayan heritage diverse landscape vibrant culture including traditional textile colorful celebration like day dead,"GT, flag, flag: guatemala"
🇬🇺,1f1ec-1f1fa,flag guam may show letter gu platform,emoji represents guam island territory united state known beautiful beach rich culture strategic location pacific ocean,"GU, flag, flag: guam"
🇬🇼,1f1ec-1f1fc,flag guineabissau may show letter gw platform,emoji represents guineabissau west african country known vibrant culture rich history diverse ecosystem including mangrove swamp tropical forest sandy beach,"GW, flag, flag: guinea-bissau"
🇬🇾,1f1ec-1f1fe,flag guyana may show letter gy platform,emoji represents guyana country south america known diverse ecosystem including rainforest wetland coastal region well rich cultural heritage history,"GY, flag, flag: guyana"
🇭,1f1ed,,,
🇭🇰,1f1ed-1f1f0,flag hong kong may show letter hk platform,emoji represents hong kong special administrative region china vibrant city known unique blend eastern western culture iconic skyline significant role global trade finance,"HK, flag, flag: hong kong sar china"
🇭🇲,1f1ed-1f1f2,flag heard mcdonald island may show letter hm platform flag australia,emoji represents heard mcdonald island remote uninhabited territory located indian ocean known unique wildlife geological feature,"HM, flag, flag: heard & mcdonald islands"
🇭🇳,1f1ed-1f1f3,flag honduras may show letter hn platform decree specified flag stripe cyan practice remained dark blue nearly seventy year,emoji represents honduras central american country known diverse landscape rich cultural heritage vibrant tradition,"HN, flag, flag: honduras"
🇭🇷,1f1ed-1f1f7,flag croatia may show letter hr platform,emoji represents croatia southeastern european country known beautiful coastline rich history vibrant culture,"HR, flag, flag: croatia"
🇭🇹,1f1ed-1f1f9,flag haiti may show letter ht platform,emoji represents haiti caribbean country known rich culture vibrant music resilient people faced numerous challenge throughout history,"HT, flag, flag: haiti"
🇭🇺,1f1ed-1f1fa,flag hungary may show letter hu platform,emoji represents hungary central european country known rich history beautiful architecture cultural contribution world including music literature film,"HU, flag, flag: hungary"
🇮,1f1ee,,,
🇮🇨,1f1ee-1f1e8,flag canary island may show letter ic platform,emoji represents canary island spanish archipelago located atlantic ocean known beautiful landscape diverse wildlife popular tourist destination,"IC, flag, flag: canary islands"
🇮🇩,1f1ee-1f1e9,flag indonesia may show letter id platform,emoji represents indonesia southeast asian country known diverse culture rich history thousand island unique ecosystem natural beauty,"ID, flag, flag: indonesia"
🇮🇪,1f1ee-1f1ea,flag ireland may show letter ie platform commonly used st,emoji represents ireland country known rich history vibrant culture stunning landscape including iconic cliff moher ring kerry,"IE, flag, flag: ireland"
🇮🇱,1f1ee-1f1f1,flag israel may show letter il platform,emoji represents israel country middle east known rich history diverse culture significant contribution science technology art,"IL, flag, flag: israel"
🇮🇲,1f1ee-1f1f2,flag isle man may show letter im platform,emoji represents isle man selfgoverning british crown dependency located irish sea known rich history stunning landscape vibrant culture,"IM, flag, flag: isle of man"
🇮🇳,1f1ee-1f1f3,flag india may show letter platform,emoji represents india country known rich history diverse culture vibrant landscape including himalayan mountain thar desert tropical forest,"IN, flag, flag: india"
🇮🇴,1f1ee-1f1f4,flag british indian ocean territory may show letter io platform flag used diego garcia,emoji represents british indian ocean territory disputed territory indian ocean known strategic location rich marine life,"IO, flag, flag: british indian ocean territory"
🇮🇶,1f1ee-1f1f6,flag iraq may show letter iq platform,emoji represents iraq country western asia known rich history cultural heritage diverse landscape including desert mountain river,"IQ, flag, flag: iraq"
🇮🇷,1f1ee-1f1f7,flag iran may show letter ir platform,emoji represents iran country rich history diverse culture significant contribution art literature science known ancient civilization persian empire,"IR, flag, flag: iran"
🇮🇸,1f1ee-1f1f8,flag iceland may show letter platform,emoji represents iceland nordic island nation known stunning landscape including glacier geyser volcano well rich cultural heritage vibrant art scene,"IS, flag, flag: iceland"
🇮🇹,1f1ee-1f1f9,flag italy may show letter platform,emoji represents italy european country known rich history art fashion cuisine well beautiful landscape iconic landmark like leaning tower pisa colosseum,"IT, flag, flag: italy"
🇯,1f1ef,,,
🇯🇪,1f1ef-1f1ea,flag jersey may show letter je platform,emoji represents jersey british crown dependency located coast normandy france known stunning beach rich history vibrant culture,"JE, flag, flag: jersey"
🇯🇲,1f1ef-1f1f2,flag jamaica may show letter jm platform,emoji represents jamaica caribbean island nation known vibrant culture beautiful beach reggae music well contribution sport politics,"JM, flag, flag: jamaica"
🇯🇴,1f1ef-1f1f4,flag jordan may show letter jo platform,emoji represents jordan country western asia known historical archaeological site including ancient city petra strategic role middle east,"JO, flag, flag: jordan"
🇯🇵,1f1ef-1f1f5,flag japan may show letter jp platform,emoji represents japan country known rich culture technology unique tradition tea ceremony anime sushi,"JP, flag, flag: japan"
🇰,1f1f0,,,
🇰🇪,1f1f0-1f1ea,flag kenya may show letter ke platform,emoji represents kenya country east africa known diverse landscape rich wildlife vibrant culture including maasai people distinctive custom,"KE, flag, flag: kenya"
🇰🇬,1f1f0-1f1ec,flag kyrgyzstan may show letter kg platform late flag updated straighten previously wavy sun ray radiating center,emoji represents kyrgyzstan central asian country known stunning landscape rich history nomadic culture,"KG, flag, flag: kyrgyzstan"
🇰🇭,1f1f0-1f1ed,flag cambodia may show letter kh platform,emoji represents cambodia southeast asian country known rich history including ancient khmer empire iconic temple like angkor wat well beautiful beach cultural heritage,"KH, flag, flag: cambodia"
🇰🇮,1f1f0-1f1ee,flag kiribati may show letter ki platform,emoji represents kiribati sovereign nation pacific ocean known beautiful coral atoll rich cultural heritage ongoing challenge climate change rising sea level,"KI, flag, flag: kiribati"
🇰🇲,1f1f0-1f1f2,flag comoros may show letter km platform comoran flag emoji,emoji represents comoros island country indian ocean known unique blend african arab malagasy culture well beautiful beach diverse marine life,"KM, flag, flag: comoros"
🇰🇳,1f1f0-1f1f3,flag st kitts nevis may show letter k n platform,emoji represents st kitts nevis twinisland country west indie known beautiful beach lush rainforest rich history former sugar colony,"KN, flag, flag: st. kitts & nevis"
🇰🇵,1f1f0-1f1f5,flag north korea may show letter kp platform,emoji represents north korea country east asia known unique political system rich history diverse landscape,"KP, flag, flag: north korea"
🇰🇷,1f1f0-1f1f7,flag south korea may show letter kr platform,emoji represents south korea country east asia known rich history vibrant culture technological advancement including kpop korean drama samsung company,"KR, flag, flag: south korea"
🇰🇼,1f1f0-1f1fc,flag kuwait may show letter kw platform,emoji represents kuwait small country arabian peninsula known rich cultural heritage beautiful architecture thriving oil industry,"KW, flag, flag: kuwait"
🇰🇾,1f1f0-1f1fe,flag cayman island may show letter ky platform,emoji represents cayman island british overseas territory known beautiful beach thriving financial sector diverse marine life,"KY, flag, flag: cayman islands"
🇰🇿,1f1f0-1f1ff,flag kazakhstan may show letter kz platform,emoji represents kazakhstan central asian country known diverse landscape rich history cultural heritage including nomadic tradition kazakh people,"KZ, flag, flag: kazakhstan"
🇱,1f1f1,,,
🇱🇦,1f1f1-1f1e6,flag lao may show letter la platform,emoji represents lao southeast asian country known rich history diverse culture natural beauty including mountain river ancient temple,"LA, flag, flag: laos"
🇱🇧,1f1f1-1f1e7,flag lebanon may show letter lb platform,emoji represents lebanon small country middle east known rich history diverse culture beautiful landscape including mediterranean coastline lebanon mountain range,"LB, flag, flag: lebanon"
🇱🇨,1f1f1-1f1e8,flag st lucia may show letter l c platform,emoji represents saint lucia beautiful island country caribbean known lush tropical landscape vibrant culture rich history,"LC, flag, flag: st. lucia"
🇱🇮,1f1f1-1f1ee,flag liechtenstein may show letter li platform,emoji represents liechtenstein small european country known picturesque landscape rich history strong economy,"LI, flag, flag: liechtenstein"
